n=7: wrong_guess=11, wrong_m=4, wrong_upper_bound=4, was_missing=True
n=774: wrong_guess=787, wrong_m=13, wrong_upper_bound=158, was_missing=True
n=775: wrong_guess=787, wrong_m=12, wrong_upper_bound=158, was_missing=True
n=776: wrong_guess=787, wrong_m=11, wrong_upper_bound=158, was_missing=True
n=777: wrong_guess=787, wrong_m=10, wrong_upper_bound=158, was_missing=True
n=778: wrong_guess=787, wrong_m=9, wrong_upper_bound=158, was_missing=True
n=779: wrong_guess=787, wrong_m=8, wrong_upper_bound=158, was_missing=True
n=797: wrong_guess=809, wrong_m=12, wrong_upper_bound=270, was_missing=True
n=798: wrong_guess=809, wrong_m=11, wrong_upper_bound=270, was_missing=True
n=799: wrong_guess=809, wrong_m=10, wrong_upper_bound=270, was_missing=True
n=800: wrong_guess=809, wrong_m=9, wrong_upper_bound=270, was_missing=True
n=801: wrong_guess=809, wrong_m=8, wrong_upper_bound=270, was_missing=True
n=802: wrong_guess=809, wrong_m=7, wrong_upper_bound=270, was_missing=True
n=803: wrong_guess=809, wrong_m=6, wrong_upper_bound=270, was_missing=True
n=829: wrong_guess=839, wrong_m=10, wrong_upper_bound=278, was_missing=True
n=839: wrong_guess=853, wrong_m=14, wrong_upper_bound=284, was_missing=True
n=840: wrong_guess=853, wrong_m=13, wrong_upper_bound=284, was_missing=True
n=841: wrong_guess=853, wrong_m=12, wrong_upper_bound=284, was_missing=True
n=842: wrong_guess=853, wrong_m=11, wrong_upper_bound=284, was_missing=True
n=843: wrong_guess=853, wrong_m=10, wrong_upper_bound=284, was_missing=True
n=844: wrong_guess=853, wrong_m=9, wrong_upper_bound=284, was_missing=True
n=845: wrong_guess=853, wrong_m=8, wrong_upper_bound=284, was_missing=True
n=863: wrong_guess=877, wrong_m=14, wrong_upper_bound=174, was_missing=True
n=887: wrong_guess=907, wrong_m=20, wrong_upper_bound=182, was_missing=True
n=888: wrong_guess=907, wrong_m=19, wrong_upper_bound=182, was_missing=True
n=889: wrong_guess=907, wrong_m=18, wrong_upper_bound=182, was_missing=True
n=890: wrong_guess=907, wrong_m=17, wrong_upper_bound=182, was_missing=True
n=891: wrong_guess=907, wrong_m=16, wrong_upper_bound=182, was_missing=True
n=892: wrong_guess=907, wrong_m=15, wrong_upper_bound=182, was_missing=True
n=893: wrong_guess=907, wrong_m=14, wrong_upper_bound=182, was_missing=True
n=894: wrong_guess=907, wrong_m=13, wrong_upper_bound=182, was_missing=True
n=895: wrong_guess=907, wrong_m=12, wrong_upper_bound=182, was_missing=True
n=896: wrong_guess=907, wrong_m=11, wrong_upper_bound=182, was_missing=True
n=897: wrong_guess=907, wrong_m=10, wrong_upper_bound=182, was_missing=True
n=898: wrong_guess=907, wrong_m=9, wrong_upper_bound=182, was_missing=True
n=899: wrong_guess=907, wrong_m=8, wrong_upper_bound=182, was_missing=True
n=929: wrong_guess=937, wrong_m=8, wrong_upper_bound=312, was_missing=True
n=947: wrong_guess=953, wrong_m=6, wrong_upper_bound=318, was_missing=True
n=953: wrong_guess=967, wrong_m=14, wrong_upper_bound=194, was_missing=True
n=954: wrong_guess=967, wrong_m=13, wrong_upper_bound=194, was_missing=True
n=955: wrong_guess=967, wrong_m=12, wrong_upper_bound=194, was_missing=True
n=956: wrong_guess=967, wrong_m=11, wrong_upper_bound=194, was_missing=True
n=957: wrong_guess=967, wrong_m=10, wrong_upper_bound=194, was_missing=True
n=958: wrong_guess=967, wrong_m=9, wrong_upper_bound=194, was_missing=True
n=959: wrong_guess=967, wrong_m=8, wrong_upper_bound=194, was_missing=True
n=960: wrong_guess=967, wrong_m=7, wrong_upper_bound=194, was_missing=True
